TICKER;PER;DATE;TIME;OPEN;HIGH;LOW;CLOSE;VOL
EURRUB;60;140820;220000;86.3388000;86.3620000;86.1220000;86.2616000;8984
EURRUB;60;140820;230000;86.2617000;86.3081000;86.1754000;86.2244000;7132
EURRUB;60;150820;0;86.2251000;86.3198000;85.9206000;86.1677000;5017
EURRUB;60;150820;10000;86.2820000;86.2820000;86.2820000;86.2820000;6
EURRUB;60;160820;230000;86.2780000;86.2890000;86.2780000;86.2890000;6
EURRUB;60;170820;0;86.2760000;86.2940000;86.2760000;86.2940000;5
EURRUB;60;170820;10000;86.2465000;86.5940000;86.0987000;86.2908000;39
EURRUB;60;170820;20000;86.2981000;86.4470000;86.2050000;86.2050000;16
EURRUB;60;170820;30000;86.4110000;86.4800000;86.2530000;86.4800000;12
EURRUB;60;170820;40000;86.4850000;86.4850000;86.2120000;86.2210000;12
EURRUB;60;170820;50000;86.4670000;86.4670000;86.2230000;86.4330000;12
EURRUB;60;170820;60000;86.2500000;86.6260000;86.2465000;86.4297000;165
EURRUB;60;170820;70000;86.4297000;86.5930000;86.3410000;86.5400000;249
EURRUB;60;170820;80000;86.6050000;86.6410000;86.4170000;86.5100000;1045
EURRUB;60;170820;90000;86.5107000;86.6460000;86.4404000;86.5212000;3458
EURRUB;60;170820;100000;86.5234000;86.6815000;86.4823000;86.5459000;5851
EURRUB;60;170820;110000;86.5459000;86.6577000;86.1804000;86.4418000;30306
EURRUB;60;170820;120000;86.4419000;86.7455000;86.3834000;86.7067000;23686
EURRUB;60;170820;130000;86.7111000;87.0139000;86.6305000;86.9913000;16021
EURRUB;60;170820;140000;86.9913000;87.2583000;86.9105000;87.2497000;17266
EURRUB;60;170820;150000;87.2504000;87.4154000;87.1176000;87.2098000;19058
EURRUB;60;170820;160000;87.2098000;87.3264000;87.0779000;87.2894000;17193
EURRUB;60;170820;170000;87.2901000;87.2938000;86.9709000;87.1282000;21424
EURRUB;60;170820;180000;87.1181000;87.4230000;87.0099000;87.3055000;20692
EURRUB;60;170820;190000;87.3007000;87.3073000;87.0870000;87.1832000;14448
